Location,0:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,5:00-6:00,6:00-7:00,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:001-3:00,13:00-14:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00
Huntsman QSL 1st floor,0.35,0.17,0.35,0.36,0.53,0.50,0.75,0.08,0.15,0.53,0.15,0.42,1.00,0.97,0.02,0.63,0.11,0.48,0.89,0.74,0.33,0.60
Huntsman QSL 2nd floor,0.66,0.21,0.18,0.42,0.55,0.07,0.30,0.49,0.28,0.71,0.03,0.46,0.50,0.16,0.57,0.96,0.35,0.49,0.31,0.13,0.82,0.67
Huntsman Computer Lab 380,0.09,0.91,0.38,0.81,0.64,0.99,0.33,0.65,0.61,0.37,0.65,0.84,0.11,0.48,0.80,0.13,0.07,0.29,0.21,0.65,0.11,0.10
Huntsman Computer Lab 385,0.19,0.03,0.39,0.88,0.62,0.56,0.97,0.97,0.74,0.01,0.22,0.99,0.43,0.73,0.67,0.39,0.57,0.44,0.84,0.48,0.30,0.37
Saxbys,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.47,0.61,0.82,0.02,0.75,0.51,0.47,0.56,0.71,0.10,0.60,0.37,0.25,0.04
HubBub,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.28,0.63,0.11,0.30,0.23,0.82,0.64,0.34,0.52,0.65,0.82,0.71,0.57,0.05
Joe's Café,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.46,0.14,0.78,0.44,0.39,0.09,0.20,0.18,0.33,0.48,0.42,0.94,0.05,0.97
Smokey Joes,0.52,0.09,0.00,0.00,0.00,0.00,0.00,0.78,0.13,0.52,0.32,0.36,0.59,0.66,0.55,0.67,0.03,0.16,0.83,0.06,0.70,0.56
Tap House ,0.81,0.95,0.00,0.00,0.00,0.00,0.00,0.71,0.23,0.94,0.74,0.87,0.93,0.36,0.42,0.06,0.60,0.55,0.05,0.71,0.65,0.86
SweetGreen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.77,0.07,0.75,0.01,0.58,0.40,0.58,0.79,0.10,0.59,0.10,0.66,0.51,0.08
Chipotle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.29,0.99,0.16,0.02,0.51,0.36,0.31,0.65,0.37,0.21,0.11,0.29,0.15,0.88
