"•ČŔ""Answer""",Place,Time,createdAt,objectId,updatedAt
FALSE,huntsman,0,2016-04-25T00:45:13.010Z,j1PlUvpCey,2016-04-25T00:45:13.010Z
TRUE,Huntsman,1,2016-04-18T16:23:15.541Z,9UrkO4NFnv,2016-04-18T16:23:15.541Z
TRUE,Blarneys,1,2016-04-18T20:05:35.145Z,DezME4kktq,2016-04-18T20:05:35.145Z
TRUE,Huntsman,1,2016-04-18T20:05:35.172Z,JQrIX3EXqK,2016-04-18T20:05:35.172Z
TRUE,Blarneys,1,2016-04-18T16:23:15.495Z,N5Ty636xpN,2016-04-18T16:23:15.495Z
TRUE,Blarneys,1,2016-04-18T16:20:12.556Z,mXkQJIycFP,2016-04-18T16:20:12.556Z
TRUE,Blarneys,1,2016-04-18T16:19:28.613Z,yvpDZLqxaq,2016-04-18T16:19:28.613Z
TRUE,huntsman,2,2016-04-19T02:57:39.783Z,6CQlOtgmmG,2016-04-19T02:57:39.783Z
TRUE,Blarneys,2,2016-04-18T20:05:35.106Z,6ODNIGKYOf,2016-04-18T20:05:35.106Z
TRUE,Blarneys,2,2016-04-18T16:23:15.545Z,Cwh98d4K3H,2016-04-18T16:23:15.545Z
FALSE,Blarneys,2,2016-04-18T16:19:28.617Z,D7bXgc5vlT,2016-04-18T16:19:28.617Z
TRUE,Huntsman,2,2016-04-18T16:23:15.557Z,KA9LbrKLao,2016-04-18T16:23:15.557Z
TRUE,Blarneys,2,2016-04-18T16:20:12.526Z,MQE1HCxTo5,2016-04-18T16:20:12.526Z
TRUE,Huntsman,2,2016-04-18T20:05:35.159Z,QRtyDqka4M,2016-04-18T20:05:35.159Z
TRUE,huntsman,2,2016-04-19T02:50:40.585Z,UwLmUHJK7c,2016-04-19T02:50:40.585Z
TRUE,huntsman,2,2016-04-19T02:55:25.360Z,a2co6ciLcA,2016-04-19T02:55:25.360Z
FALSE,Blarneys,2,2016-04-18T16:18:26.312Z,oGAV2Gbxab,2016-04-18T16:18:26.312Z
TRUE,Blarneys,2,2016-04-18T16:19:28.605Z,wa9m4KNVkI,2016-04-18T16:19:28.605Z
TRUE,huntsman,3,2016-04-19T03:09:00.657Z,4IIDz8bmpQ,2016-04-19T03:09:00.657Z
TRUE,huntsman,3,2016-04-19T03:10:46.962Z,5kby7ypbfS,2016-04-19T03:10:46.962Z
FALSE,blarneys,3,2016-04-19T03:03:03.261Z,EgdaNzTkIu,2016-04-19T03:03:03.261Z
FALSE,Blarneys,3,2016-04-18T20:05:35.107Z,Fe0IS60aZ6,2016-04-18T20:05:35.107Z
FALSE,Blarneys,3,2016-04-18T16:19:28.600Z,Khp2lq52Qa,2016-04-18T16:19:28.600Z
FALSE,Blarneys,3,2016-04-18T16:23:15.507Z,UuSSmy9l6z,2016-04-18T16:23:15.507Z
TRUE,blarneys,3,2016-04-26T03:39:56.408Z,Vs5IPRmhjF,2016-04-26T03:39:56.408Z
FALSE,Huntsman,3,2016-04-18T20:05:35.158Z,c3kF5aqI42,2016-04-18T20:05:35.158Z
TRUE,blarneys,3,2016-04-19T03:15:10.844Z,nO7fu7X2jn,2016-04-19T03:15:10.844Z
TRUE,blarneys,3,2016-04-19T03:03:07.488Z,q3WoSPafvj,2016-04-19T03:03:07.488Z
FALSE,Huntsman,3,2016-04-18T16:23:15.538Z,qOK1ZvNgvp,2016-04-18T16:23:15.538Z
FALSE,Blarneys,3,2016-04-18T16:18:26.304Z,yVAKl4dVCd,2016-04-18T16:18:26.304Z
FALSE,Blarneys,3,2016-04-18T16:20:12.786Z,ybpq7oFi4k,2016-04-18T16:20:12.786Z
TRUE,huntsman,3,2016-04-26T03:40:52.300Z,zu1699aVPg,2016-04-26T03:40:52.300Z
FALSE,Huntsman,4,2016-04-18T16:23:15.544Z,1ffPp7VpLH,2016-04-18T16:23:15.544Z
FALSE,Huntsman,4,2016-04-18T20:05:35.175Z,3geGSdbwpg,2016-04-18T20:05:35.175Z
FALSE,Blarneys,4,2016-04-18T16:23:15.508Z,CJPl5xjNXM,2016-04-18T16:23:15.508Z
FALSE,Blarneys,4,2016-04-18T20:05:35.132Z,OWWEQ9GlDb,2016-04-18T20:05:35.132Z
FALSE,Blarneys,4,2016-04-18T16:20:12.540Z,Yz8obIWrPn,2016-04-18T16:20:12.540Z
FALSE,Blarneys,4,2016-04-18T16:18:26.286Z,clwZS44gnc,2016-04-18T16:18:26.286Z
FALSE,Blarneys,4,2016-04-18T16:19:28.602Z,raoK25Kfs4,2016-04-18T16:19:28.602Z
FALSE,Blarneys,5,2016-04-18T16:19:28.613Z,BrTwEhU9xP,2016-04-18T16:19:28.613Z
FALSE,Blarneys,5,2016-04-18T20:05:35.127Z,IcfZthbAEI,2016-04-18T20:05:35.127Z
FALSE,Blarneys,5,2016-04-18T16:23:15.495Z,KBzbiNnKNV,2016-04-18T16:23:15.495Z
FALSE,Huntsman,5,2016-04-18T16:23:15.543Z,LSOJT0vyvq,2016-04-18T16:23:15.543Z
FALSE,Blarneys,5,2016-04-18T16:18:26.306Z,Sp15cmg0xp,2016-04-18T16:18:26.306Z
FALSE,Blarneys,5,2016-04-18T16:20:12.533Z,gYFavS2KcP,2016-04-18T16:20:12.533Z
FALSE,Huntsman,5,2016-04-18T20:05:35.165Z,htBtmdQJJc,2016-04-18T20:05:35.165Z
FALSE,Huntsman,6,2016-04-18T16:23:15.543Z,HS2qbNpVZW,2016-04-18T16:23:15.543Z
FALSE,Blarneys,6,2016-04-18T16:20:12.544Z,PUUtQVHwyH,2016-04-18T16:20:12.544Z
FALSE,Huntsman,6,2016-04-18T20:05:35.177Z,SxDJ3Kzbjv,2016-04-18T20:05:35.177Z
FALSE,Blarneys,6,2016-04-18T20:05:35.124Z,ZZXmVbIJqQ,2016-04-18T20:05:35.124Z
FALSE,Blarneys,6,2016-04-18T16:18:26.290Z,cxOlsEbY3y,2016-04-18T16:18:26.290Z
FALSE,Blarneys,6,2016-04-18T16:23:15.482Z,ezHffQMZUL,2016-04-18T16:23:15.482Z
FALSE,Blarneys,6,2016-04-18T16:19:28.610Z,q7dq5rowC7,2016-04-18T16:19:28.610Z
FALSE,Huntsman,7,2016-04-18T16:23:15.541Z,3YfaTD6Z0s,2016-04-18T16:23:15.541Z
FALSE,Blarneys,7,2016-04-18T16:20:12.535Z,UWFKICo17J,2016-04-18T16:20:12.535Z
FALSE,Blarneys,7,2016-04-18T16:18:26.309Z,aWzsQbWFAZ,2016-04-18T16:18:26.309Z
FALSE,Blarneys,7,2016-04-18T16:19:28.596Z,dIc5VEvoak,2016-04-18T16:19:28.596Z
FALSE,Blarneys,7,2016-04-18T20:05:35.132Z,kjQrwqYOIg,2016-04-18T20:05:35.132Z
FALSE,Huntsman,7,2016-04-18T20:05:35.176Z,mcujgSkbyX,2016-04-18T20:05:35.176Z
FALSE,Blarneys,7,2016-04-18T16:23:18.615Z,rRiVped5nq,2016-04-18T16:23:18.615Z
FALSE,Huntsman,8,2016-04-18T16:23:15.552Z,0B7FXm2Ob4,2016-04-18T16:23:15.552Z
FALSE,Blarneys,8,2016-04-18T16:20:12.589Z,5nhpocKkUM,2016-04-18T16:20:12.589Z
FALSE,Blarneys,8,2016-04-18T16:23:15.477Z,JEgpItU8RN,2016-04-18T16:23:15.477Z
FALSE,Blarneys,8,2016-04-18T16:19:28.603Z,OiuvoGQe5h,2016-04-18T16:19:28.603Z
FALSE,Blarneys,8,2016-04-18T16:18:26.315Z,SvT9qJfWMq,2016-04-18T16:18:26.315Z
FALSE,Blarneys,8,2016-04-18T20:05:35.110Z,cVLlqBehKb,2016-04-18T20:05:35.110Z
FALSE,Huntsman,8,2016-04-18T20:05:35.157Z,d1zrh3zhwl,2016-04-18T20:05:35.157Z
FALSE,Blarneys,9,2016-04-18T20:05:35.110Z,37NYLLmJBw,2016-04-18T20:05:35.110Z
FALSE,Blarneys,9,2016-04-18T16:18:26.311Z,8Jwd4PHFgY,2016-04-18T16:18:26.311Z
TRUE,Huntsman,9,2016-04-18T16:23:15.535Z,EjXnGdG0UZ,2016-04-18T16:23:15.535Z
TRUE,Huntsman,9,2016-04-18T20:05:35.154Z,H1pET7YR8z,2016-04-18T20:05:35.154Z
FALSE,Blarneys,9,2016-04-18T16:19:28.624Z,gesmaM5heA,2016-04-18T16:19:28.624Z
FALSE,Blarneys,9,2016-04-18T16:23:15.495Z,s84rLyXBnB,2016-04-18T16:23:15.495Z
FALSE,Blarneys,9,2016-04-18T16:20:12.546Z,wecwkXRu1E,2016-04-18T16:20:12.546Z
FALSE,Blarneys,10,2016-04-18T16:20:12.523Z,C88HvZc3xG,2016-04-18T16:20:12.523Z
FALSE,Blarneys,10,2016-04-18T16:18:26.315Z,Fq6G3xsVrU,2016-04-18T16:18:26.315Z
TRUE,Huntsman,10,2016-04-18T20:05:35.145Z,PkU1n72uXK,2016-04-18T20:05:35.145Z
FALSE,Blarneys,10,2016-04-18T16:23:15.491Z,kHgds0g9bn,2016-04-18T16:23:15.491Z
TRUE,Huntsman,10,2016-04-18T16:23:15.539Z,r8RxKmFNbH,2016-04-18T16:23:15.539Z
FALSE,Blarneys,10,2016-04-18T16:19:28.611Z,s0847YoniW,2016-04-18T16:19:28.611Z
FALSE,Blarneys,10,2016-04-18T20:05:35.147Z,tSi7ymPtob,2016-04-18T20:05:35.147Z
FALSE,Blarneys,11,2016-04-18T16:19:28.628Z,9oG8jjA6Bv,2016-04-18T16:19:28.628Z
TRUE,Huntsman,11,2016-04-18T20:05:35.145Z,AMuGLKGo0s,2016-04-18T20:05:35.145Z
FALSE,Blarneys,11,2016-04-18T16:18:26.301Z,Z6DkKuExrV,2016-04-18T16:18:26.301Z
FALSE,Blarneys,11,2016-04-18T16:20:12.558Z,ZiN81Gdfpq,2016-04-18T16:20:12.558Z
TRUE,Huntsman,11,2016-04-18T16:23:15.570Z,pHFZ4cGjms,2016-04-18T16:23:15.570Z
FALSE,Blarneys,11,2016-04-18T20:05:35.128Z,q8eFtp7M5B,2016-04-18T20:05:35.128Z
FALSE,Blarneys,11,2016-04-18T16:23:15.479Z,sQyxGSdZYK,2016-04-18T16:23:15.479Z
FALSE,Blarneys,12,2016-04-18T16:18:26.297Z,3BvS411IDG,2016-04-18T16:18:26.297Z
FALSE,Blarneys,12,2016-04-18T16:23:15.481Z,BIeyin3RT5,2016-04-18T16:23:15.481Z
FALSE,Blarneys,12,2016-04-18T16:19:28.615Z,DT3KvMzRj6,2016-04-18T16:19:28.615Z
FALSE,Blarneys,12,2016-04-18T16:20:12.525Z,IUSu5MO2Sa,2016-04-18T16:20:12.525Z
TRUE,Huntsman,12,2016-04-18T16:23:15.509Z,dsSwXcXJ34,2016-04-18T16:23:15.509Z
TRUE,Huntsman,12,2016-04-18T20:05:35.151Z,oAeIUVJ9IJ,2016-04-18T20:05:35.151Z
FALSE,Blarneys,12,2016-04-18T20:05:35.143Z,sD7CQrQWqx,2016-04-18T20:05:35.143Z
FALSE,Blarneys,13,2016-04-18T16:20:12.549Z,Ei6yNrq096,2016-04-18T16:20:12.549Z
FALSE,Blarneys,13,2016-04-18T20:05:35.123Z,P1OyTDXgdS,2016-04-18T20:05:35.123Z
TRUE,Huntsman,13,2016-04-18T20:05:35.142Z,SGHyYIsMRg,2016-04-18T20:05:35.142Z
FALSE,Blarneys,13,2016-04-18T16:19:28.618Z,SHhdK0oFjQ,2016-04-18T16:19:28.618Z
TRUE,Huntsman,13,2016-04-18T16:23:15.537Z,c6hdS725ZT,2016-04-18T16:23:15.537Z
FALSE,Blarneys,13,2016-04-18T16:23:15.488Z,dtQgbTFMi8,2016-04-18T16:23:15.488Z
FALSE,Blarneys,13,2016-04-18T16:18:26.305Z,wC8o9UsBY5,2016-04-18T16:18:26.305Z
TRUE,Huntsman,14,2016-04-18T20:05:35.148Z,560wAPGoKP,2016-04-18T20:05:35.148Z
FALSE,Blarneys,14,2016-04-18T20:05:35.152Z,F5a6DGClmD,2016-04-18T20:05:35.152Z
FALSE,Blarneys,14,2016-04-18T16:19:28.620Z,Sm9yCg9HQM,2016-04-18T16:19:28.620Z
FALSE,Blarneys,14,2016-04-18T16:23:15.481Z,YPzKIrGB43,2016-04-18T16:23:15.481Z
FALSE,Blarneys,14,2016-04-18T16:18:26.318Z,kJggSF7yeN,2016-04-18T16:18:26.318Z
TRUE,Huntsman,14,2016-04-18T16:23:15.527Z,lDmayxg3Tc,2016-04-18T16:23:15.527Z
FALSE,Blarneys,14,2016-04-18T16:20:12.523Z,tSUs7UfAW8,2016-04-18T16:20:12.523Z
TRUE,Huntsman,15,2016-04-18T20:05:35.138Z,3frIyvzwP9,2016-04-18T20:05:35.138Z
FALSE,Blarneys,15,2016-04-18T16:18:26.318Z,Ateba60gH2,2016-04-18T16:18:26.318Z
FALSE,Blarneys,15,2016-04-18T20:05:35.139Z,HQWppbTW0W,2016-04-18T20:05:35.139Z
FALSE,Blarneys,15,2016-04-18T16:19:28.624Z,Jpd42uBmor,2016-04-18T16:19:28.624Z
TRUE,Huntsman,15,2016-04-18T16:23:15.540Z,v1JVD4e8Ys,2016-04-18T16:23:15.540Z
FALSE,Blarneys,15,2016-04-18T16:23:15.480Z,y6rEy8dBWi,2016-04-18T16:23:15.480Z
FALSE,Blarneys,15,2016-04-18T16:20:12.549Z,zHbDSXC8Bo,2016-04-18T16:20:12.549Z
FALSE,Blarneys,16,2016-04-18T16:23:15.485Z,A8ULib4yr1,2016-04-18T16:23:15.485Z
FALSE,Blarneys,16,2016-04-18T16:19:28.661Z,DAWc4Se3is,2016-04-18T16:19:28.661Z
FALSE,Blarneys,16,2016-04-18T20:05:35.140Z,KuFKh48l8j,2016-04-18T20:05:35.140Z
FALSE,Blarneys,16,2016-04-18T16:18:26.307Z,grXq7FjxPa,2016-04-18T16:18:26.307Z
TRUE,Huntsman,16,2016-04-18T20:05:35.139Z,hNRVibPkTE,2016-04-18T20:05:35.139Z
TRUE,Huntsman,16,2016-04-18T16:23:15.539Z,iNJdcJmyFW,2016-04-18T16:23:15.539Z
FALSE,Blarneys,16,2016-04-18T16:20:12.536Z,nrX7IRgoku,2016-04-18T16:20:12.536Z
FALSE,Blarneys,17,2016-04-18T16:23:15.480Z,Dcw5Ldqp5S,2016-04-18T16:23:15.480Z
FALSE,Blarneys,17,2016-04-18T16:20:12.544Z,Lvelle74Au,2016-04-18T16:20:12.544Z
FALSE,blarneys,17,2016-04-19T17:57:14.652Z,Pvox5NvQos,2016-04-19T17:57:14.652Z
FALSE,Blarneys,17,2016-04-18T16:18:26.320Z,Q66RfHjIBE,2016-04-18T16:18:26.320Z
FALSE,Blarneys,17,2016-04-18T20:05:35.144Z,QY9TGTKBwN,2016-04-18T20:05:35.144Z
